,price,age,rep,mil,hyb,4wd,S,G,W,GX,A,X
340,211.7,4,0,5.2,1,0,0,0,1,0,0,0
341,228.0,3,0,4.5,1,0,0,0,1,0,0,0
342,229.0,3,0,4.3,1,0,0,0,1,0,0,0
343,229.3,3,0,3.2,1,0,0,0,1,0,0,0
344,255.7,2,0,3.0,1,1,0,0,1,0,0,0
345,208.4,3,0,1.2,0,0,0,0,1,0,0,0
346,224.7,5,0,0.7,1,0,0,0,1,0,0,0
347,207.0,4,0,5.1,1,0,0,0,1,0,0,0
348,257.6,2,0,3.1,1,1,0,1,0,0,0,0
349,231.5,1,0,1.2,0,0,0,0,1,0,0,0
350,230.1,4,0,1.9,1,0,0,0,1,0,0,0
351,187.1,4,0,5.4,1,0,1,0,0,0,0,0
352,239.9,1,0,1.1,0,0,0,0,1,0,0,0
353,237.0,4,0,1.7,1,0,0,0,1,0,0,0
354,189.5,4,0,3.1,0,0,1,0,0,0,0,0
355,222.0,4,0,3.1,1,0,0,0,1,0,0,0
356,242.6,3,0,2.0,1,0,0,0,1,0,0,0
357,197.3,4,0,3.9,1,0,0,0,0,1,0,0
358,262.8,1,0,3.5,1,0,0,0,1,0,0,0
359,208.7,4,0,4.8,1,0,0,0,1,0,0,0
360,234.3,3,0,3.8,1,0,0,0,1,0,0,0
361,166.5,5,0,4.8,0,0,1,0,0,0,0,0
362,160.4,4,0,11.6,1,0,0,0,1,0,0,0
363,222.7,3,0,2.5,0,0,0,0,1,0,0,0
364,191.9,3,0,3.4,0,0,1,0,0,0,0,0
365,210.2,4,0,2.7,1,0,1,0,0,0,0,0
366,241.2,3,0,3.6,1,0,0,0,1,0,0,0
367,200.4,2,0,1.7,0,0,1,0,0,0,0,0
368,221.8,1,0,4.0,0,0,0,0,1,0,0,0
369,268.9,3,0,4.5,1,1,0,0,1,0,0,0
370,205.3,3,0,4.8,1,0,1,0,0,0,0,0
371,207.2,2,0,1.6,0,0,1,0,0,0,0,0
372,252.2,1,0,4.5,1,0,0,0,1,0,0,0
373,273.8,2,0,0.4,1,0,0,0,1,0,0,0
374,197.9,5,0,3.9,0,0,0,0,1,0,0,0
375,205.4,5,0,1.8,1,0,1,0,0,0,0,0
376,216.7,5,0,2.4,1,0,0,0,1,0,0,0
377,223.8,4,0,3.2,1,0,0,0,1,0,0,0
378,236.9,3,0,3.4,1,0,0,0,1,0,0,0
379,277.8,1,0,1.8,1,0,0,0,1,0,0,0
380,242.7,3,0,3.1,1,0,0,0,1,0,0,0
381,169.6,5,0,7.5,1,0,1,0,0,0,0,0
382,263.9,2,0,2.8,1,0,0,0,1,0,0,0
383,191.4,4,0,5.0,1,0,1,0,0,0,0,0
384,198.3,5,0,3.0,1,0,1,0,0,0,0,0
385,177.3,4,0,3.2,0,0,0,0,0,1,0,0
386,206.7,4,0,1.9,0,0,0,0,1,0,0,0
387,203.9,4,0,3.7,0,0,0,0,1,0,0,0
388,203.6,4,0,5.3,1,0,0,0,1,0,0,0
389,206.9,3,0,1.0,1,0,0,0,0,1,0,0
390,222.7,4,0,4.6,1,0,0,0,1,0,0,0
391,238.3,4,0,0.4,1,0,0,0,1,0,0,0
392,204.2,4,0,4.4,1,0,1,0,0,0,0,0
393,187.3,5,0,1.3,0,0,0,0,1,0,0,0
394,229.3,4,0,2.2,1,0,0,0,1,0,0,0
395,188.0,5,1,4.5,1,0,0,0,1,0,0,0
396,272.7,1,0,1.7,1,0,0,0,1,0,0,0
397,294.4,1,0,2.2,1,1,0,0,1,0,0,0
398,230.3,2,0,4.9,1,1,0,0,1,0,0,0
399,263.8,2,0,2.4,1,0,0,0,1,0,0,0
400,282.3,2,0,1.8,1,1,0,0,1,0,0,0
401,213.5,4,0,1.1,0,0,1,0,0,0,0,0
402,226.1,4,0,4.7,1,0,0,0,1,0,0,0
403,243.1,4,0,1.7,1,1,1,0,0,0,0,0
404,202.3,4,0,5.9,1,0,0,0,1,0,0,0
405,209.6,4,0,1.9,1,0,1,0,0,0,0,0
406,208.7,5,0,2.9,1,0,1,0,0,0,0,0
407,182.5,5,0,1.4,0,0,1,0,0,0,0,0
408,193.5,3,0,1.0,0,0,1,0,0,0,0,0
409,217.2,4,0,3.6,1,0,0,0,1,0,0,0
410,149.3,5,0,7.6,1,0,0,0,0,1,0,0
411,225.3,4,0,3.6,1,0,0,0,1,0,0,0
412,299.7,0,0,1.2,1,0,0,0,1,0,0,0
413,215.0,3,0,3.3,1,0,1,0,0,0,0,0
414,215.8,4,0,5.2,1,0,0,0,1,0,0,0
415,245.9,4,0,1.8,1,0,0,0,1,0,0,0
416,179.7,5,0,6.5,0,0,0,0,1,0,0,0
417,231.0,5,0,2.6,0,0,0,0,1,0,0,0
418,203.8,4,0,5.9,1,0,0,0,1,0,0,0
419,239.7,2,0,3.0,1,0,0,0,1,0,0,0
420,239.7,3,0,2.4,1,0,0,0,1,0,0,0
421,202.4,3,0,3.1,0,0,0,0,1,0,0,0
422,214.7,4,0,4.6,1,0,0,0,1,0,0,0
423,215.3,3,0,3.0,0,0,0,0,1,0,0,0
424,265.8,2,0,3.3,1,0,0,0,1,0,0,0
425,230.3,4,0,1.5,1,0,0,0,1,0,0,0
426,239.4,3,0,3.2,1,0,0,0,1,0,0,0
427,227.3,4,0,2.9,1,0,0,0,1,0,0,0
428,240.0,3,0,1.7,1,0,0,0,1,0,0,0
429,200.3,5,0,3.0,0,0,0,0,1,0,0,0
430,287.1,1,0,0.6,1,0,0,0,1,0,0,0
431,275.9,1,0,2.2,1,1,0,1,0,0,0,0
432,226.3,4,0,3.3,1,0,0,0,1,0,0,0
433,225.3,3,0,3.0,1,0,1,0,0,0,0,0
434,163.5,4,1,5.0,0,0,0,0,1,0,0,0
435,230.7,3,0,2.5,0,0,0,0,0,0,1,0
436,178.5,4,0,0.9,0,0,0,0,0,1,0,0
437,180.9,5,0,5.7,0,0,0,0,1,0,0,0
438,246.5,3,0,3.4,1,0,0,0,1,0,0,0
439,224.2,3,0,4.4,1,0,0,0,1,0,0,0
440,222.1,4,0,5.3,1,0,0,0,1,0,0,0
441,238.9,3,0,3.5,1,0,0,0,1,0,0,0
442,290.4,1,0,0.3,1,0,0,0,1,0,0,0
443,201.5,4,0,6.1,1,0,0,0,1,0,0,0
444,209.9,3,0,1.1,0,0,1,0,0,0,0,0
445,297.7,0,0,0.3,1,0,0,0,1,0,0,0
446,226.1,5,0,2.4,1,0,0,0,1,0,0,0
447,225.4,5,0,3.5,1,0,0,0,1,0,0,0
448,224.3,3,0,3.4,1,0,1,0,0,0,0,0
449,204.8,4,0,1.7,0,0,0,0,1,0,0,0
450,227.0,3,0,2.7,1,0,1,0,0,0,0,0
451,218.6,4,0,5.0,1,1,1,0,0,0,0,0
452,187.6,4,0,8.6,1,0,0,0,1,0,0,0
453,190.3,4,0,8.0,1,0,0,0,1,0,0,0
454,228.6,3,0,4.4,1,1,0,0,0,1,0,0
455,236.0,3,0,4.0,1,0,0,0,1,0,0,0
456,255.1,2,0,1.8,1,0,0,0,1,0,0,0
457,231.5,4,0,1.9,1,0,0,0,1,0,0,0
